DATE ADDED TO CATALOG,PUBMEDID,FIRST AUTHOR,DATE,JOURNAL,LINK,STUDY,DISEASE/TRAIT,INITIAL SAMPLE SIZE,REPLICATION SAMPLE SIZE,REGION,CHR_ID,CHR_POS,REPORTED GENE(S),MAPPED_GENE,UPSTREAM_GENE_ID,DOWNSTREAM_GENE_ID,SNP_GENE_IDS,UPSTREAM_GENE_DISTANCE,DOWNSTREAM_GENE_DISTANCE,STRONGEST SNP-RISK ALLELE,SNPS,MERGED,SNP_ID_CURRENT,CONTEXT,INTERGENIC,RISK ALLELE FREQUENCY,P-VALUE,PVALUE_MLOG,P-VALUE (TEXT),OR or BETA,95% CI (TEXT),PLATFORM [SNPS PASSING QC],CNV
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q21.3,1,150836557,NR,ARNT,,,ENSG00000143437,,,rs35665093-?,rs35665093,0,35665093,intron_variant,0,NR,3.00E-12,11.52287875,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q21.3,1,152313385,NR,"FLG-AS1, FLG",,,"ENSG00000237975, ENSG00000143631",,,rs61816761-?,rs61816761,0,61816761,stop_gained,0,NR,4.00E-73,72.39794001,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q21.3,1,152799487,NR,LCE1D - LCE1C,ENSG00000172155,ENSG00000197084,,1306,5345,rs72702900-?,rs72702900,0,72702900,intergenic_variant,1,NR,1.00E-30,30,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q21.3,1,152206676,NR,FLG-AS1,,,ENSG00000237975,,,rs12123821-?,rs12123821,0,12123821,intron_variant,0,NR,4.00E-55,54.39794001,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q21.3,1,151829917,NR,RORC,,,ENSG00000143365,,,rs71625139-?,rs71625139,0,71625139,intron_variant,0,NR,3.00E-17,16.52287875,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q21.3,1,151790858,NR,"TDRKH, TDRKH-AS1",,,"ENSG00000182134, ENSG00000203288",,,rs55875222-?,rs55875222,0,55875222,5_prime_UTR_variant,0,NR,5.00E-25,24.30103,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q21.3,1,152305146,NR,"FLG-AS1, FLG",,,"ENSG00000237975, ENSG00000143631",,,rs150597413-?,rs150597413,0,150597413,stop_gained,0,NR,9.00E-13,12.04575749,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q21.3,1,152468434,NR,FLG-AS1 - LCE5A,ENSG00000237975,ENSG00000186207,,22978,42369,rs12144049-?,rs12144049,0,12144049,intergenic_variant,1,NR,2.00E-27,26.69897,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q21.3,1,152307547,NR,"FLG, FLG-AS1",,,"ENSG00000143631, ENSG00000237975",,,rs138726443-?,rs138726443,0,138726443,stop_gained,0,NR,2.00E-10,9.698970004,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q21.3,1,152198985,NR,FLG-AS1,,,ENSG00000237975,,,rs1552994-?,rs1552994,0,1552994,intron_variant,0,NR,1.00E-13,13,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q21.3,1,152219980,NR,"FLG-AS1, HRNR",,,"ENSG00000237975, ENSG00000197915",,,rs145282902-?,rs145282902,0,145282902,missense_variant,0,NR,8.00E-13,12.09691001,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q21.3,1,152202679,NR,FLG-AS1,,,ENSG00000237975,,,rs11588970-?,rs11588970,0,11588970,intron_variant,0,NR,2.00E-10,9.698970004,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q21.3,1,152949110,NR,"SPRR5, LINC01527",,,"ENSG00000283227, ENSG00000224308",,,rs115813648-?,rs115813648,0,115813648,3_prime_UTR_variant,0,NR,3.00E-28,27.52287875,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q21.3,1,151813805,NR,RORC,,,ENSG00000143365,,,rs3828058-?,rs3828058,0,3828058,non_coding_transcript_exon_variant,0,NR,6.00E-18,17.22184875,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1p36.23,1,8664463,NR,RERE,,,ENSG00000142599,,,rs10864360-?,rs10864360,0,10864360,intron_variant,0,NR,4.00E-09,8.397940009,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q21.3,1,151829204,NR,RORC,,,ENSG00000143365,,,rs4845604-?,rs4845604,0,4845604,intron_variant,0,NR,2.00E-13,12.69897,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q25.1,1,173202534,NR,TNFSF4,,,ENSG00000117586,,,rs11811856-?,rs11811856,0,11811856,intron_variant,0,NR,1.00E-11,11,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q21.3,1,153132598,NR,SPRR2F - SPRR2C,ENSG00000244094,ENSG00000229035,,19082,7893,rs535153283-?,rs535153283,0,535153283,intergenic_variant,1,NR,2.00E-10,9.698970004,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q21.3,1,152487271,NR,FLG-AS1 - LCE5A,ENSG00000237975,ENSG00000186207,,41815,23532,rs1199156-?,rs1199156,0,1199156,intergenic_variant,1,NR,6.00E-10,9.22184875,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q24.3,1,172746562,NR,FASLG - SLC25A38P1,ENSG00000117560,ENSG00000229785,,79686,1998,rs78037977-?,rs78037977,0,78037977,TF_binding_site_variant,1,NR,1.00E-09,9,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,1q24.3,1,172765458,NR,SLC25A38P1 - NA,ENSG00000229785,,,15956,,rs859725-?,rs859725,0,859725,regulatory_region_variant,1,NR,1.00E-08,8,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,2q36.1,2,223799333,NR,AP1S3,,,ENSG00000152056,,,rs6755248-?,rs6755248,0,6755248,intron_variant,0,NR,9.00E-09,8.045757491,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,2q37.3,2,241751355,NR,D2HGDH,,,ENSG00000180902,,,rs141343442-?,rs141343442,0,141343442,synonymous_variant,0,NR,4.00E-09,8.397940009,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,2q37.3,2,241759225,NR,D2HGDH,,,ENSG00000180902,,,rs34290285-?,rs34290285,0,34290285,intron_variant,0,NR,2.00E-34,33.69897,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,2q37.3,2,241776965,NR,GAL3ST2,,,ENSG00000154252,,,rs12469459-?,rs12469459,0,12469459,missense_variant,0,NR,5.00E-12,11.30103,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,2q12.1,2,102115136,NR,IL1R1,,,ENSG00000115594,,,rs1007027-?,rs1007027,0,1007027,intron_variant,0,NR,6.00E-14,13.22184875,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,2q12.1,2,102113414,NR,IL1R1,,,ENSG00000115594,,,rs874953-?,rs874953,0,874953,intron_variant,0,NR,7.00E-10,9.15490196,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,2q12.1,2,102165764,NR,IL1R1,,,ENSG00000115594,,,rs3917339-?,rs3917339,0,3917339,intron_variant,0,NR,3.00E-09,8.522878745,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,2q12.1,2,102319699,NR,"IL1RL1, IL18R1",,,"ENSG00000115602, ENSG00000115604",,,rs72823641-?,rs72823641,0,72823641,intron_variant,0,NR,7.00E-60,59.15490196,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,2q12.1,2,102225664,NR,IL1RL2,,,ENSG00000115598,,,rs2302621-?,rs2302621,0,2302621,intron_variant,0,NR,1.00E-19,19,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,2q12.1,2,102309902,NR,FAM183DP - IL1RL1,ENSG00000205716,ENSG00000115602,,59647,1600,rs12470864-?,rs12470864,0,12470864,intergenic_variant,1,NR,3.00E-28,27.52287875,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,2p25.1,2,8301605,NR,LINC00299,,,ENSG00000236790,,,rs13416555-?,rs13416555,0,13416555,intron_variant,0,NR,5.00E-15,14.30103,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,2q11.2,2,101671373,NR,NA - MAP4K4,,ENSG00000071054,,,25477,rs13022699-?,rs13022699,0,13022699,intergenic_variant,1,NR,1.00E-10,10,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,2q12.1,2,102635468,NR,SLC9A2,,,ENSG00000115616,,,rs17775170-?,rs17775170,0,17775170,intron_variant,0,NR,1.00E-13,13,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,2q12.1,2,102593137,NR,SLC9A4 - SLC9A2,ENSG00000180251,ENSG00000115616,,59165,26416,rs10209131-?,rs10209131,0,10209131,regulatory_region_variant,1,NR,3.00E-12,11.52287875,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,2q12.1,2,102470626,NR,IL18RAP - SLC9A4,ENSG00000115607,ENSG00000180251,,18061,2600,rs72825929-?,rs72825929,0,72825929,intergenic_variant,1,NR,8.00E-10,9.096910013,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,2q12.1,2,102562489,NR,SLC9A4 - SLC9A2,ENSG00000180251,ENSG00000115616,,28517,57064,rs72825990-?,rs72825990,0,72825990,regulatory_region_variant,1,NR,3.00E-16,15.52287875,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,2q36.3,2,227805760,NR,CCL20,,,ENSG00000115009,,,rs1811711-?,rs1811711,0,1811711,5_prime_UTR_variant,0,NR,2.00E-10,9.698970004,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,3p22.3,3,33047293,NR,GLB1,,,ENSG00000170266,,,rs79337446-?,rs79337446,0,79337446,intron_variant,0,NR,3.00E-10,9.522878745,,,,Affymetrix [~ 8270000] (imputed),N
4/17/20,31669095,Zhu Z,10/24/19,J Allergy Clin Immunol,www.ncbi.nlm.nih.gov/pubmed/31669095,Shared Genetic and Experimental Links between Obesity-Related Traits and Asthma Subtypes in UK Biobank.,Asthma (childhood onset),"13,435 European ancestry cases, 393,186 European ancestry controls",NA,3q21.3,3,128239849,NR,EEFSEC,,,ENSG00000132394,,,rs2999076-?,rs2999076,0,2999076,intron_variant,0,NR,2.00E-09,8.698970004,,,,Affymetrix [~ 8270000] (imputed),N
